# Output from icenk version 1.01 on Tue Oct  6 12:29:24 2020
# 
# Amorphous CH3OH at 10K, n=1.314, h=1.02 microns, measured on a KBr substrate
# 
# Spectrum file          "example1-spectrum.txt"
# Substrate n and k from "kbr-nk.txt"
# Sample thickness       1.020 microns
# Sample visible index   1.314 at a wavelength of 670.0 nm
# Input parameters from  "icenk-inputfile.txt"
# 
# If this code is used in your research, please cite Gerakines, P.A., and Hudson, R. L. 2020. A Modified Algorithm and Open-source Computational Package for the Determination of Infrared Optical Constants Relevant to Astrophysics. ApJ, 901, 52.
# 
# For the original Python code, calculation details, and general information
# from our group - please visit http://science.gsfc.nasa.gov/691/cosmicice
# 
# Wavnum [cm-1]    Abs(Calculated)           n                  k       
# -------------    ---------------    ---------------    ---------------
# 
2.024600000e+03    7.387693390e-04    1.319895842e+00    4.086391598e-04
2.024700000e+03    7.355192727e-04    1.319894389e+00    4.058221813e-04
2.024800000e+03    7.322693249e-04    1.319891579e+00    4.030618635e-04
2.024900000e+03    7.254692268e-04    1.319890659e+00    3.971193862e-04
2.025000000e+03    7.195692380e-04    1.319894057e+00    3.917854547e-04
2.025100000e+03    7.161691509e-04    1.319899723e+00    3.885435712e-04
2.025200000e+03    7.163692035e-04    1.319906901e+00    3.883865719e-04
2.025300000e+03    7.185691647e-04    1.319912773e+00    3.900320475e-04
2.025400000e+03    7.207692317e-04    1.319920827e+00    3.915869417e-04
2.025500000e+03    7.294692393e-04    1.319930352e+00    3.987623284e-04
2.025600000e+03    7.416693991e-04    1.319936176e+00    4.091499647e-04
2.025700000e+03    7.563694759e-04    1.319939948e+00    4.218068214e-04
2.025800000e+03    7.721696919e-04    1.319936978e+00    4.357037747e-04
2.025900000e+03    7.798197345e-04    1.319931451e+00    4.425824424e-04
2.026000000e+03    7.874698707e-04    1.319931554e+00    4.492271428e-04
2.026100000e+03    8.011699573e-04    1.319929229e+00    4.612590467e-04
2.026200000e+03    8.125701471e-04    1.319921789e+00    4.714921774e-04
2.026300000e+03    8.212702080e-04    1.319913318e+00    4.794076837e-04
2.026400000e+03    8.273703593e-04    1.319902914e+00    4.851308855e-04
2.026500000e+03    8.291703635e-04    1.319893355e+00    4.870612493e-04
2.026600000e+03    8.309704690e-04    1.319885788e+00    4.889089740e-04
2.026700000e+03    8.323704673e-04    1.319877197e+00    4.904494480e-04
2.026800000e+03    8.315705527e-04    1.319868538e+00    4.900707024e-04
2.026900000e+03    8.283705105e-04    1.319860229e+00    4.875807766e-04
2.027000000e+03    8.228705461e-04    1.319854583e+00    4.829716812e-04
2.027100000e+03    8.191204856e-04    1.319851267e+00    4.797950453e-04
2.027200000e+03    8.153705335e-04    1.319846542e+00    4.766771658e-04
2.027300000e+03    8.072704345e-04    1.319843587e+00    4.696867839e-04
2.027400000e+03    8.002704332e-04    1.319846207e+00    4.634268521e-04
2.027500000e+03    7.968703527e-04    1.319851439e+00    4.602031192e-04
2.027600000e+03    7.995704239e-04    1.319858267e+00    4.622407942e-04
2.027700000e+03    8.044704236e-04    1.319860829e+00    4.663761605e-04
2.027800000e+03    8.093705153e-04    1.319867087e+00    4.703579864e-04
2.027900000e+03    8.255706090e-04    1.319871494e+00    4.842832058e-04
2.028000000e+03    8.446708552e-04    1.319866736e+00    5.011193670e-04
2.028100000e+03    8.613710086e-04    1.319851287e+00    5.163016681e-04
2.028200000e+03    8.651711605e-04    1.319831946e+00    5.203810904e-04
2.028300000e+03    8.689712098e-04    1.319813356e+00    5.244288762e-04
2.028400000e+03    8.621712937e-04    1.319784655e+00    5.196413470e-04
2.028500000e+03    8.385711212e-04    1.319759708e+00    5.000330226e-04
2.028600000e+03    8.000709010e-04    1.319741198e+00    4.671540779e-04
2.028700000e+03    7.533704434e-04    1.319747348e+00    4.261001874e-04
